id,placeId,locationType,nameFr,nameEn,descriptionFr,descriptionEn,containedInPlaceStatus,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,lastModification
VILLE-9085,9085,AdministrativeArea,Sainte-Flavie,Sainte-Flavie,Municipalité de Sainte-Flavie,Municipality of Sainte-Flavie,FALSE,"""""",Sainte-Flavie,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9092,9092,AdministrativeArea,Sainte-Luce,Sainte-Luce,Municipalité de Sainte-Luce,Municipality of Sainte-Luce,FALSE,"""""",Sainte-Luce,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9902,9902,AdministrativeArea,Lac-des-Eaux-Mortes,Lac-des-Eaux-Mortes,Lac-des-Eaux-Mortes,Lac-des-Eaux-Mortes,FALSE,"""""",Lac-des-Eaux-Mortes,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9904,9904,AdministrativeArea,Lac-à-la-Croix,Lac-à-la-Croix,Lac-à-la-Croix,Lac-à-la-Croix,FALSE,"""""",Lac-à-la-Croix,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-10005,10005,AdministrativeArea,Esprit-Saint,Esprit-Saint,Municipalité de Esprit-Saint,Municipality of Esprit-Saint,FALSE,"""""",Esprit-Saint,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-10010,10010,AdministrativeArea,La Trinité-des-Monts,La Trinité-des-Monts,Municipalité de La Trinité-des-Monts,Municipality of La Trinité-des-Monts,FALSE,"""""",La Trinité-des-Monts,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-10015,10015,AdministrativeArea,Saint-Narcisse-de-Rimouski,Saint-Narcisse-de-Rimouski,Municipalité de Saint-Narcisse-de-Rimouski,Municipality of Saint-Narcisse-de-Rimouski,FALSE,"""""",Saint-Narcisse-de-Rimouski,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-10025,10025,AdministrativeArea,Saint-Marcellin,Saint-Marcellin,Municipalité de Saint-Marcellin,Municipality of Saint-Marcellin,FALSE,"""""",Saint-Marcellin,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-10030,10030,AdministrativeArea,Saint-Anaclet-de-Lessard,Saint-Anaclet-de-Lessard,Municipalité de Saint-Anaclet-de-Lessard,Municipality of Saint-Anaclet-de-Lessard,FALSE,"""""",Saint-Anaclet-de-Lessard,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-10043,10043,AdministrativeArea,Rimouski,Rimouski,Ville de Rimouski,Town of Rimouski,FALSE,"""""",Rimouski,QC,"""""",CAN,2025-03-27T15:00:00-04:00
